ticker,start_date,end_date
011280.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
008040.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
002620.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
007110.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
025820.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
004080.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
001080.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
000700.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
014280.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
024090.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
001045.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
009270.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
004710.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
009070.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
007210.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
010580.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
014530.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
014580.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
003720.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
063160.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
015590.KS,2000-01-04 00:00:00+09:00,2024-12-10 00:00:00+09:00
001380.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
007540.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
012610.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
013580.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
017550.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
016710.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
012800.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
012600.KS,2000-01-04 00:00:00+09:00,2024-12-10 00:00:00+09:00
002780.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
013570.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
002210.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
011700.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
003480.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
002200.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
005870.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
008260.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
002990.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
011150.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
035000.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
014160.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
002600.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
002700.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
004100.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
017900.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
002450.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
010100.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
012690.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
004150.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
004830.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
024900.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
016090.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
019490.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
002460.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
023800.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
005960.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
014790.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
000180.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
008700.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
004840.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
036580.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
007280.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
004720.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
007590.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
