ticker,start_date,end_date
DRS,1985-06-24 00:00:00-04:00,2024-12-10 00:00:00-05:00
DSGR,1980-03-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
DSGX,1999-01-27 00:00:00-05:00,2024-12-10 00:00:00-05:00
DSWL,1995-07-19 00:00:00-04:00,2024-12-10 00:00:00-05:00
DWSN,1994-04-05 00:00:00-04:00,2024-12-10 00:00:00-05:00
DXLG,1987-06-02 00:00:00-04:00,2024-12-10 00:00:00-05:00
DXPE,1998-05-07 00:00:00-04:00,2024-12-10 00:00:00-05:00
DXR,1983-07-25 00:00:00-04:00,2024-12-10 00:00:00-05:00
EA,1989-09-20 00:00:00-04:00,2024-12-10 00:00:00-05:00
EBAY,1998-09-24 00:00:00-04:00,2024-12-10 00:00:00-05:00
ECPG,1999-07-09 00:00:00-04:00,2024-12-10 00:00:00-05:00
EDAP,1997-08-01 00:00:00-04:00,2024-12-10 00:00:00-05:00
EDUC,1980-03-18 00:00:00-05:00,2024-12-10 00:00:00-05:00
EEFT,1997-03-07 00:00:00-05:00,2024-12-10 00:00:00-05:00
EFOI,1994-08-18 00:00:00-04:00,2024-12-10 00:00:00-05:00
EGAN,1999-09-23 00:00:00-04:00,2024-12-10 00:00:00-05:00
EGBN,1999-07-14 00:00:00-04:00,2024-12-10 00:00:00-05:00
EGHT,1997-07-02 00:00:00-04:00,2024-12-10 00:00:00-05:00
ELSE,1981-06-09 00:00:00-04:00,2024-12-10 00:00:00-05:00
ELTK,1997-01-22 00:00:00-05:00,2024-12-10 00:00:00-05:00
EMKR,1997-03-06 00:00:00-05:00,2024-12-10 00:00:00-05:00
EML,1980-03-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
ENG,1995-01-20 00:00:00-05:00,2024-12-10 00:00:00-05:00
ERIC,1981-08-24 00:00:00-04:00,2024-12-10 00:00:00-05:00
ERIE,1995-10-02 00:00:00-04:00,2024-12-10 00:00:00-05:00
ERNA,1991-08-29 00:00:00-04:00,2024-12-10 00:00:00-05:00
ESCA,1980-03-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
ESGR,1997-04-01 00:00:00-05:00,2024-12-10 00:00:00-05:00
ESLT,1996-11-27 00:00:00-05:00,2024-12-10 00:00:00-05:00
EVRG,1973-02-21 00:00:00-05:00,2024-12-10 00:00:00-05:00
EWBC,1999-02-03 00:00:00-05:00,2024-12-10 00:00:00-05:00
EXC,1973-05-02 00:00:00-04:00,2024-12-10 00:00:00-05:00
EXPO,1990-08-17 00:00:00-04:00,2024-12-10 00:00:00-05:00
EXTR,1999-04-09 00:00:00-04:00,2024-12-10 00:00:00-05:00
EZPW,1991-08-27 00:00:00-04:00,2024-12-10 00:00:00-05:00
FARM,1980-03-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
FARO,1997-09-18 00:00:00-04:00,2024-12-10 00:00:00-05:00
FAST,1987-08-20 00:00:00-04:00,2024-12-10 00:00:00-05:00
FBNC,1987-04-30 00:00:00-04:00,2024-12-10 00:00:00-05:00
FCAP,1999-01-04 00:00:00-05:00,2024-12-10 00:00:00-05:00
FCBC,1994-04-08 00:00:00-04:00,2024-12-10 00:00:00-05:00
FCCO,1999-03-09 00:00:00-05:00,2024-12-10 00:00:00-05:00
FCEL,1992-06-25 00:00:00-04:00,2024-12-10 00:00:00-05:00
FCFS,1991-06-10 00:00:00-04:00,2024-12-10 00:00:00-05:00
FCNCA,1986-10-22 00:00:00-04:00,2024-12-10 00:00:00-05:00
FDBC,1999-04-13 00:00:00-04:00,2024-12-10 00:00:00-05:00
FEIM,1980-06-18 00:00:00-04:00,2024-12-10 00:00:00-05:00
FELE,1980-03-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
FFBC,1983-12-21 00:00:00-05:00,2024-12-10 00:00:00-05:00
FFIC,1995-11-21 00:00:00-05:00,2024-12-10 00:00:00-05:00
FFIN,1993-11-01 00:00:00-05:00,2024-12-10 00:00:00-05:00
FFIV,1999-06-04 00:00:00-04:00,2024-12-10 00:00:00-05:00
FISI,1999-06-25 00:00:00-04:00,2024-12-10 00:00:00-05:00
FITB,1980-03-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
FIZZ,1991-09-13 00:00:00-04:00,2024-12-10 00:00:00-05:00
FLEX,1994-03-18 00:00:00-05:00,2024-12-10 00:00:00-05:00
FLIC,1987-01-12 00:00:00-05:00,2024-12-10 00:00:00-05:00
FLL,1993-08-17 00:00:00-04:00,2024-12-10 00:00:00-05:00
FLWS,1999-08-03 00:00:00-04:00,2024-12-10 00:00:00-05:00
FLXS,1980-03-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
FMBH,1999-03-16 00:00:00-05:00,2024-12-10 00:00:00-05:00
FMNB,1999-01-04 00:00:00-05:00,2024-12-10 00:00:00-05:00
FNLC,1999-07-14 00:00:00-04:00,2024-12-10 00:00:00-05:00
FNWD,1998-05-20 00:00:00-04:00,2024-12-10 00:00:00-05:00
FONR,1981-10-29 00:00:00-05:00,2024-12-10 00:00:00-05:00
FORD,1994-11-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
FORR,1996-11-27 00:00:00-05:00,2024-12-10 00:00:00-05:00
FORTY,1997-10-20 00:00:00-04:00,2024-12-10 00:00:00-05:00
FOSL,1993-04-08 00:00:00-04:00,2024-12-10 00:00:00-05:00
FRAF,1994-04-06 00:00:00-04:00,2024-12-10 00:00:00-05:00
FRME,1989-06-20 00:00:00-04:00,2024-12-10 00:00:00-05:00
FRPH,1986-07-02 00:00:00-04:00,2024-12-10 00:00:00-05:00
FSTR,1981-06-09 00:00:00-04:00,2024-12-10 00:00:00-05:00
FTEK,1993-09-07 00:00:00-04:00,2024-12-10 00:00:00-05:00
FULT,1985-09-03 00:00:00-04:00,2024-12-10 00:00:00-05:00
FUNC,1992-09-03 00:00:00-04:00,2024-12-10 00:00:00-05:00
FUND,1988-06-08 00:00:00-04:00,2024-12-10 00:00:00-05:00
FUSB,1999-01-11 00:00:00-05:00,2024-12-10 00:00:00-05:00
FWRD,1993-11-16 00:00:00-05:00,2024-12-10 00:00:00-05:00
FXNC,1999-01-14 00:00:00-05:00,2024-12-10 00:00:00-05:00
GT,1962-01-02 00:00:00-05:00,2024-12-10 00:00:00-05:00
GTIM,1992-07-09 00:00:00-04:00,2024-12-10 00:00:00-05:00
GYRO,1995-08-18 00:00:00-04:00,2024-12-10 00:00:00-05:00
HAFC,1994-04-06 00:00:00-04:00,2024-12-10 00:00:00-05:00
HAIN,1994-01-20 00:00:00-05:00,2024-12-10 00:00:00-05:00
HAS,1980-03-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
HBAN,1980-03-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
HCKT,1998-05-28 00:00:00-04:00,2024-12-10 00:00:00-05:00
HCSG,1983-11-29 00:00:00-05:00,2024-12-10 00:00:00-05:00
HDSN,1994-11-01 00:00:00-05:00,2024-12-10 00:00:00-05:00
HELE,1976-07-08 00:00:00-04:00,2024-12-10 00:00:00-05:00
HFWA,1998-05-07 00:00:00-04:00,2024-12-10 00:00:00-05:00
HGBL,1993-03-23 00:00:00-05:00,2024-12-10 00:00:00-05:00
HHS,1993-11-04 00:00:00-05:00,2024-12-10 00:00:00-05:00
HIFS,1988-12-14 00:00:00-05:00,2024-12-10 00:00:00-05:00
HIHO,1996-12-11 00:00:00-05:00,2024-12-10 00:00:00-05:00
HLIT,1995-05-23 00:00:00-04:00,2024-12-10 00:00:00-05:00
HNRG,1994-04-06 00:00:00-04:00,2024-12-10 00:00:00-05:00
HOLX,1990-03-01 00:00:00-05:00,2024-12-10 00:00:00-05:00
HON,1962-01-02 00:00:00-05:00,2024-12-10 00:00:00-05:00
HOPE,1998-01-29 00:00:00-05:00,2024-12-10 00:00:00-05:00
HRTX,1987-08-26 00:00:00-04:00,2024-12-10 00:00:00-05:00
HSIC,1995-11-03 00:00:00-05:00,2024-12-10 00:00:00-05:00
HSII,1999-04-27 00:00:00-04:00,2024-12-10 00:00:00-05:00
HST,1980-03-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
HTBK,1998-07-20 00:00:00-04:00,2024-12-10 00:00:00-05:00
HTLD,1986-11-05 00:00:00-05:00,2024-12-10 00:00:00-05:00
HTLF,1999-01-04 00:00:00-05:00,2024-12-10 00:00:00-05:00
HUBG,1996-03-13 00:00:00-05:00,2024-12-10 00:00:00-05:00
HURC,1980-08-27 00:00:00-04:00,2024-12-10 00:00:00-05:00
HWBK,1999-07-20 00:00:00-04:00,2024-12-10 00:00:00-05:00
HWC,1991-06-04 00:00:00-04:00,2024-12-10 00:00:00-05:00
HWKN,1980-03-18 00:00:00-05:00,2024-12-10 00:00:00-05:00
IAC,1993-01-19 00:00:00-05:00,2024-12-10 00:00:00-05:00
IART,1995-08-16 00:00:00-04:00,2024-12-10 00:00:00-05:00
IBCP,1985-09-04 00:00:00-04:00,2024-12-10 00:00:00-05:00
IBOC,1995-08-30 00:00:00-04:00,2024-12-10 00:00:00-05:00
ICAD,1984-12-13 00:00:00-05:00,2024-12-10 00:00:00-05:00
ICCC,1987-05-05 00:00:00-04:00,2024-12-10 00:00:00-05:00
ICLR,1998-05-15 00:00:00-04:00,2024-12-10 00:00:00-05:00
ICUI,1992-03-31 00:00:00-05:00,2024-12-10 00:00:00-05:00
IDCC,1981-11-12 00:00:00-05:00,2024-12-10 00:00:00-05:00
IDN,1999-11-19 00:00:00-05:00,2024-12-10 00:00:00-05:00
IDXX,1991-06-21 00:00:00-04:00,2024-12-10 00:00:00-05:00
IEP,1987-07-23 00:00:00-04:00,2024-12-10 00:00:00-05:00
IESC,1998-01-28 00:00:00-05:00,2024-12-10 00:00:00-05:00
IMKTA,1987-09-22 00:00:00-04:00,2024-12-10 00:00:00-05:00
IMMR,1999-11-12 00:00:00-05:00,2024-12-10 00:00:00-05:00
IMNN,1999-03-01 00:00:00-05:00,2024-12-10 00:00:00-05:00
INCY,1993-11-04 00:00:00-05:00,2024-12-10 00:00:00-05:00
INDB,1986-05-14 00:00:00-04:00,2024-12-10 00:00:00-05:00
INO,1998-12-08 00:00:00-05:00,2024-12-10 00:00:00-05:00
INOD,1993-08-10 00:00:00-04:00,2024-12-10 00:00:00-05:00
INTC,1980-03-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
INTG,1980-03-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
INTU,1993-03-12 00:00:00-05:00,2024-12-10 00:00:00-05:00
INTZ,1992-05-21 00:00:00-04:00,2024-12-10 00:00:00-05:00
INVE,1997-10-07 00:00:00-04:00,2024-12-10 00:00:00-05:00
IONS,1991-05-17 00:00:00-04:00,2024-12-10 00:00:00-05:00
NOTV,1997-11-25 00:00:00-05:00,2024-12-10 00:00:00-05:00
NOVT,1999-03-24 00:00:00-05:00,2024-12-10 00:00:00-05:00
NRIM,1990-11-15 00:00:00-05:00,2024-12-10 00:00:00-05:00
NSIT,1995-01-24 00:00:00-05:00,2024-12-10 00:00:00-05:00
NSSC,1981-12-29 00:00:00-05:00,2024-12-10 00:00:00-05:00
NSYS,1993-06-11 00:00:00-04:00,2024-12-10 00:00:00-05:00
NTAP,1995-11-21 00:00:00-05:00,2024-12-10 00:00:00-05:00
NTCT,1999-08-12 00:00:00-04:00,2024-12-10 00:00:00-05:00
NTIC,1992-03-27 00:00:00-05:00,2024-12-10 00:00:00-05:00
NTRS,1980-03-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
NTWK,1998-09-25 00:00:00-04:00,2024-12-10 00:00:00-05:00
NVAX,1995-12-05 00:00:00-05:00,2024-12-10 00:00:00-05:00
NVDA,1999-01-22 00:00:00-05:00,2024-12-10 00:00:00-05:00
NVEC,1995-05-23 00:00:00-04:00,2024-12-10 00:00:00-05:00
NWBI,1994-11-07 00:00:00-05:00,2024-12-10 00:00:00-05:00
NWFL,1998-03-04 00:00:00-05:00,2024-12-10 00:00:00-05:00
NWL,1980-03-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
NWPX,1995-11-30 00:00:00-05:00,2024-12-10 00:00:00-05:00
